class;bugsUntil;bugsAfter;RFC;WMC;CBO;DIT;LCOM;NOC;NoPubAttr;NoPubMeth;numAttrInh;NoM;NoLoC;NoMInh;NoPrivAttr;NoPrivMeth;FanIn;FanOut
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ;3;0; 34.0; 20.0;9;2;15;0; 1.0;5;8; 6.0; 122.0;19;0;0;1;9
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ;0;0; 1.0; 1.0;1;1;0;0; 2.0;1;0; 1.0; 4.0;8;0;0;1;0
org::eclipse::jdt::internal::compiler::ast::ASTNode ;55;1; 156.0; 176.0;114;1;190;6; 3.0;19;249; 20.0; 484.0;8;0;1;102;18
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ;3;0; 18.0; 12.0;5;6;10;0; 0.0;4;61; 5.0; 33.0;207;0;0;1;4
org::eclipse::jdt::internal::eval::CodeSnippetParser ;15;0; 174.0; 115.0;23;2;820;0; 7.0;1;416; 41.0; 673.0;8;0;2;1;22
org::eclipse::jdt::internal::formatter::Location ;13;0; 4.0; 2.0;2;1;1;0; 12.0;2;0; 2.0; 16.0;8;0;0;1;1
org::eclipse::jdt::core::dom::SingleMemberAnnotation ;5;0; 46.0; 23.0;6;4;78;0; 0.0;3;96; 13.0; 87.0;88;2;0;2;4
org::eclipse::jdt::internal::compiler::parser::NLSTag ;6;0; 2.0; 2.0;2;1;1;0; 4.0;2;0; 2.0; 9.0;8;0;0;2;0
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ;7;0; 50.0; 64.0;11;3;105;0; 9.0;13;119; 15.0; 250.0;40;0;0;2;9
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ;1;0; 5.0; 3.0;4;3;6;1; 1.0;3;3; 4.0; 9.0;17;0;0;3;1
org::eclipse::jdt::core::dom::MemberRef ;3;0; 51.0; 25.0;6;2;105;0; 0.0;6;95; 15.0; 95.0;68;3;0;3;4
org::eclipse::jdt::internal::core::util::Annotation ;1;0; 14.0; 10.0;8;2;15;0; 0.0;5;0; 6.0; 42.0;23;6;0;4;4
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ;4;0; 22.0; 14.0;5;7;3;0; 0.0;3;397; 3.0; 42.0;124;0;0;1;4
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ;11;0; 125.0; 93.0;12;3;78;0; 10.0;10;143; 13.0; 387.0;40;6;0;4;8
org::eclipse::jdt::internal::core::util::KeyKind ;7;0; 18.0; 19.0;1;2;136;0; 1.0;17;2; 17.0; 53.0;41;1;0;1;0
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ;1;0; 4.0; 4.0;4;2;3;0; 2.0;2;0; 3.0; 14.0;15;0;0;3;1
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ;60;3; 172.0; 148.0;63;3;351;2; 26.0;25;391; 27.0; 624.0;42;0;1;36;33
org::eclipse::jdt::core::dom::ASTRequestor ;2;0; 5.0; 6.0;1;1;6;1; 1.0;3;0; 4.0; 20.0;8;0;0;1;1
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ;1;0; 2.0; 0.0;1;2;1;2; 0.0;2;5; 2.0; 0.0;19;0;0;1;0
org::eclipse::jdt::core::search::SearchPattern ;37;1; 244.0; 276.0;36;2;190;2; 0.0;14;3; 20.0; 1126.0;13;2;6;18;23
org::eclipse::jdt::core::jdom::DOMFactory ;3;0; 34.0; 17.0;4;1;45;0; 1.0;10;0; 10.0; 52.0;17;0;0;1;3
org::eclipse::jdt::internal::core::util::SignatureAttribute ;0;0; 8.0; 4.0;6;3;3;0; 0.0;2;1; 3.0; 16.0;31;2;0;3;3
org::eclipse::jdt::internal::core::BinaryMember ;10;1; 61.0; 29.0;18;6;91;3; 0.0;10;53; 14.0; 127.0;170;0;1;3;15
org::eclipse::jdt::internal::compiler::ast::MessageSend ;37;4; 191.0; 166.0;22;4;136;5; 13.0;17;384; 17.0; 494.0;77;0;0;5;17
org::eclipse::jdt::internal::core::XMLWriter ;4;0; 2.0; 1.0;2;2;0;0; 0.0;1;0; 1.0; 3.0;43;0;0;2;0
org::eclipse::jdt::internal::compiler::parser::JavadocParser ;59;3; 171.0; 212.0;27;2;210;4; 2.0;3;133; 21.0; 795.0;46;4;0;7;20
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ;16;2; 220.0; 156.0;21;7;55;0; 2.0;11;448; 11.0; 591.0;115;0;0;1;20
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ;6;0; 40.0; 39.0;9;3;45;0; 7.0;10;126; 10.0; 166.0;44;0;0;1;8
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ;1;0; 40.0; 37.0;3;1;45;0; 4.0;7;0; 10.0; 144.0;8;0;3;0;3
org::eclipse::jdt::internal::compiler::ast::Expression ;57;0; 281.0; 234.0;108;3;528;15; 4.0;31;380; 33.0; 760.0;38;0;2;92;18
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ;0;0; 12.0; 13.0;5;3;10;1; 0.0;1;13; 5.0; 35.0;55;0;0;3;3
org::eclipse::jdt::internal::core::util::ConstantPool ;0;0; 55.0; 15.0;3;2;10;0; 0.0;3;0; 5.0; 72.0;22;3;1;1;2
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ;4;0; 17.0; 12.0;7;6;15;2; 2.0;5;385; 6.0; 52.0;95;0;0;5;3
