"class","bugsUntil","bugsAfter","hclust"
"org::eclipse::jdt::internal::core::search::matching::TypeDeclarationPattern",16,1,"1"
"org::eclipse::jdt::internal::core::ClassFile",44,0,"2"
"org::eclipse::jdt::internal::core::util::DefaultStackMapFrame",2,0,"3"
"org::eclipse::jdt::core::dom::BindingComparator",19,0,"3"
"org::eclipse::jdt::internal::eval::GlobalVariable",0,0,"3"
"org::eclipse::jdt::internal::core::search::matching::PackageDeclarationLocator",0,0,"4"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedAllocationExpression",4,0,"5"
"org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference",3,1,"5"
"org::eclipse::jdt::core::dom::Assignment",9,0,"6"
"org::eclipse::jdt::internal::core::SourceMethodElementInfo",3,0,"3"
"org::eclipse::jdt::core::search::MethodDeclarationMatch",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::MagicLiteral",0,0,"5"
"org::eclipse::jdt::internal::core::util::ToStringSorter",0,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::PackageBinding",7,4,"6"
"org::eclipse::jdt::core::dom::ParameterizedType",6,0,"6"
"org::eclipse::jdt::internal::compiler::classfmt::FieldInfoWithAnnotation",0,0,"3"
"org::eclipse::jdt::core::dom::EnumConstantDeclaration",9,0,"6"
"org::eclipse::jdt::core::dom::SynchronizedStatement",8,0,"6"
"org::eclipse::jdt::internal::core::util::StackMapFrame",1,0,"1"
"org::eclipse::jdt::internal::core::InitializerElementInfo",0,0,"3"
"org::eclipse::jdt::internal::core::search::matching::DeclarationOfAccessedFieldsPattern",3,1,"4"
"org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor",1,0,"1"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedSingleTypeReference",0,0,"5"
"org::eclipse::jdt::internal::compiler::util::HashtableOfIntValues",0,0,"1"
"org::eclipse::jdt::internal::compiler::ast::ImportReference",2,0,"5"
"org::eclipse::jdt::internal::core::JavaModelStatus",15,0,"7"
"org::eclipse::jdt::internal::core::BinaryMethod",31,1,"2"
"org::eclipse::jdt::internal::core::search::matching::QualifiedTypeDeclarationPattern",10,1,"4"
"org::eclipse::jdt::internal::core::search::matching::TypeReferencePattern",21,1,"4"
"org::eclipse::jdt::internal::formatter::DefaultCodeFormatter",31,0,"7"
"org::eclipse::jdt::internal::formatter::FormatJavadocReference",3,0,"4"
"org::eclipse::jdt::internal::compiler::ast::MemberValuePair",16,0,"8"
"org::eclipse::jdt::internal::core::CreatePackageFragmentOperation",9,0,"3"
"org::eclipse::jdt::internal::core::util::Messages",17,1,"3"
"org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding",3,0,"6"
"org::eclipse::jdt::internal::core::search::HierarchyScope",6,0,"1"
